"comp1","comp1_expl","comp2","comp2_expl","comp3","comp3_expl","AcademicDegree","ProgExp","ProgExpCompColleagues","Exp_OOP","Years_Prog","Years_ProgLargeProj","coh_Familiarity"
"1","Segundo a definição anterior, uma classe muito coesa possui uma única responsabilidade. O nome da segunda classe já sugere que ela tem duas responsabilidades (inserir e fazer update). Na primeira classe, a responsabilidade parece ser uma só: gerenciar conexões. Apesar de que poderia ser vista como três responsabilidades: abrir,fechar, e pegar conexão. Mas todos os métodos compartilham variáveis em comum, parecem estar bem relacionados, então eu diria que é só uma responsabilidade.","3","Eu achei as duas classes com pouca coesão. A primeira, Main_Config2, que deveria focar só em ler e salvar as configurações de um arquivo, expõe mais comportamento através dos métodos públicos get e set para cada atributo. Dessa forma um cliente pode usar essa classe para outras funções além de ler ou salvar as configuração de um arquivo. Pode definir as configurações diretamente com os métodos gets e sets. A segunda classe possui vários helpers que só tem em comum a relação com o banco de dados. Mas alguns helpers são gerais, como o delEntry, outro são específicos de uma tabela, como o isRoomDeletable. Acredito que essa classe poderia ser dividida melhor. Talvez uma classe responsável pela tabela com informações dos quartos. Outra classe utilitária mais geral.","2","Eu acho que a primeira classe RelationSpouse possui um método printToFile que deveria ser responsabilidade de outra classe, por isso, acho ela menos coesa que a segunda.","4","7","4","4","9","2","1"
"1","Porque a segunda classe talvez acumule mais responsabilidades do que deveria","2","Achei que as responsabilidades da segunda classe são mais bem definidas do que na primeira","4","não consegui definir qual das duas classes foi mais coesa","3","8","4","4","8","5","1"
"1","A segunda classe trata de conexão efetiva com banco e controle de conexões, logo assumindo duas responsabilidades que poderiam ser definidas em classes diferentes.","2","Executa diversas responsabilidade, como:  - Buscar o próximo id livre de uma tabela;  - Deletar um registro de uma tabela;  - Procurar por quartos livres em uma data;  etc","2","A primeira tem uma responsabilidade de gravação em arquivo que não deveria ser atribuida à classe.","4","8","4","4","20","8","1"
"3","Eu avaliei os métodos públicos providos pelas classes e o quão eles estão relacionados com a responsabilidade de cada classe, a qual inferi pelo comentário descrevendo cada classe.    Desta forma, cheguei a conclusão que em ambos os casos os métodos públicos estão relacionados com a responsabilidade de cada classe.    Além disso, usei como auxílio a definição anterior de que uma classe altamente coesa é indivisível.","1","Novamente, segui a heurística de ler a responsabilidade de cada classe e verificar se os métodos públicos de cada classe estavam ou não relacionados com a responsabilidade da classe.    Desta forma, identifiquei que para a classe DB_Helpers há uma série de métodos que realizam responsabilidades bastante distintas: alguns atuam diretamente no banco, outros em elementos da interface, por exemplo. Por isso considerei DB_Helpers menos coesa.    Além disso, eu empreguei novamente o conceito de que classes altamente coesas são indivisíveis. Desta forma, julguei que DB_Helpers poderia ser quebrada em uma classe contendo métodos auxiliares que atuam na camada de acesso ao banco de dados, e outra classe contendo métodos auxiliares que atuam na camada de apresentação.    obs.: Não considerei os métodos getters e setters na análise de coesão.","2","Novamente, comecei buscando as responsabilidades de cada classe, mas desta vez peguei as responsabilidades do próprio enunciado da questão, não dos comentários.    Pela própria definição das responsabilidades, identifiquei que havia definição de mais de uma responsabilidade, o que me soou logo de cara como um sintoma de baixa coesão.    Analisando o código fonte, percebi que a classe RelationParentChild implementa apenas a lógica relacionada ao relacionamento entre pessoas, enquanto a classe RelationSpouse implementa a lógica relacionada ao relacionamento entre pessoas e também as lógicas de salvar no arquivo e exibir na interface gráfica mensagens.     Seguindo a sugestão inicial de que uma classe altamente coesa é indivisível, julguei que RelationParentChild é mais coesa do que RelationSpouse, visto que RelationSpouse poderia ser quebrada em três classes: uma para representar a lógica da relação entre pessoas, outra para a exibição de mensagens na interface gráfica  e outra para a persistência em arquivos.","4","8","4","5","9","2","1"
"1","The first class joins all responsibilities regarding a databased connection. On the other hand, the second class brings information that could be split into more than a single class, e.g., a class handling inserts and another handling updates.","3","The amount of different accessor methods (getters/setters) in the first class led me to consider this as a low cohesive class. Those methods deal with several purposes. It is better to have several getter/setter classes, that join similar responsbilities, than having a &quot;global&quot; one, that joins accessors to all entities in the project.    The same problem is faced in the second class. It doesn't have a single and well-focused objective.","2","The first class has a method that doesn't have to do with its main purpose, but rather to &quot;print&quot; things, that indeed could serve to more than this single class and, as such, could be considered as a separate entity. This problem doesnt happen to the second class, that only involves things related to its main purpose.","4","7","4","4","8","0","1"
"1","A opção foi escolhida principalmente porque a segunda classe contém várias conexões com a classe que realiza o backend. Tais ações são relativas a uma funcionalidade que é necessária para o funcionamento da classe DB_InsertUpdate, mas que não faz parte da funcionalidade da classe.","1","A segunda classe possui acoplamento com diversas outras classes. Dessa forma, a coesão da classe diminui já que existem vários outros elementos que não fazem parte da implementação da funcionalidade principal da classe","3","Ambas as classes possuem o mesmo nível de coesão nesse caso apesar da forma de implementação/verificação das relações entre os objetos","4","8","4","5","14","6","1"
"1","de acordo com a definição dada, a classe DB_InsertUpdate pode ser dividida em outras classes mas a Backend teria mais dificuldade em ser dividida","1","pelos mesmos motivos apresentados anteriormente","3","acredito que o nível de dificuldade em dividar as duas classes é o mesmo","3","8","4","4","15","8","1"
"1","A primeira classe tem como única responsabilidade a conexão com o banco de dados. A segunda classe, possui como responsabilidade insert e update e é mais fácil de dividir em duas classes diferentes. Como foi mostrado na página anterior, Bieman e Kang (1995) declarou que uma classe altamente coesa deve ser difícil de dividir em duas ou mais partes. Tomando isso como base, a primeira parece ser mais coesa do que a segunda classe.","1","A primeira classe tem como responsabilidade fazer o load e o save de configurações. Enquanto a segunda classe mistura um pouco as responsabilidades, por exemplo, os métodos isRoomDeletable e getComboItems não parecem estar realizando atividades de um mesmo contexto.","2","A classe RelationSpouse possui o método printToFile que não deveria fazer parte desta classe para que a coesão fosse mantida mais alta.","3","9","5","5","7","6","1"
"3","The fields from both classes are similiar regarding the behavior of each class.","1","The fields from the first class are similiar regarding the behavior of this class (more similar than those from the second class).","3","The fields from both classes are similiar regarding the behavior of each class.","4","6","2","3","16","0","2"
"1","A primeira classe é uma classe utilitária para conectar e desconectar do banco. A segunda classe poderia ser dividida em duas, uma para inserções outra para atualizações.","3","Os atributos e métodos das duas classes não tem tanta relação uns com os outros","3","As duas classes são iguais","2","9","4","3","11","7","2"
"1","Levando com consideração a definição mostrada no passo anterior (""uma classe coesa se mostra difícil de ser fragmentada em outras classes""), eu vejo a DB_Backend como mais coesa que a DB_InsertUpdate, apesar de a classe de conexão ser maior, e portanto correr maior risco de lidar com diferentes responsabilidades. Essa ideia foi derrubada através de uma análise do código, quando cheguei à conclusão de que os métodos de conexão ao BD seria muito mais dificilmente fragmentados em diferentes classes do que os métodos de Inserção e Update de registros, presentes na classe DB_InsertUpdate.","1","Apesar de apresentarem a mesma ""dificuldade"" em fragmentação em uma possível refatoração, a classe Main_Config2 parece ter mais sentido por concentrar as funcionalidades que concentra, principalmente pelo conjunto de gets e sets","2","A classe RelationSpouse tem como objetivo definir os atributos e métodos relacionados à husband e wife, com adição da funcionalidade de escrever em arquivo. A funcionalidade de I/O parece ser mais facilmente realocada em uma outra classe, se comparado a qualquer método da classe RelationParentChild","2","6","3","4","5","0","1"
"3","As classes tem o mesmo nível de coesão por que fazem o que a ti é responsável, também a implementação da InsertUpdate não seja a melhor, mas a sua classe tem a responsabilidade que a faz executar os processos.","1","A segunda classe executa procedimentos que não deveriam ser feitos, por exemplo queries para insert.","2","a primeira tem regra de negocio que nao deveria pertencer a ela","2","3","2","3","5","0","1"
"4","Não sei o suficiente sobre coesão para conseguir perceber qual tem o maior nível de coesão :(","4","Não sei o suficiente sobre coesão para conseguir perceber qual tem o maior nível de coesão :(","3","As duas são bem parecidas e todos os atributos estão lá possuem uma única responsabilidade (como definido no inicio da pesquisa)","2","7","3","4","7","6","2"
"1","Levei em consideração o objetivo, responsabilidade, da classe. A primeira classe tem o único objetivo de gerenciar a conexão.","1","A forma como a primeira classe foi mais estruturada que a segunda, deixando a classe mais simples de entender.","3","Achei as classes muito parecidas.","2","7","3","4","5","3","1"
